condition,count,denominator,matrix,rate,transition
true_text,377,564,correctness,0.6684397163120568,wrong_to_wrong
true_text,49,564,correctness,0.08687943262411348,wrong_to_correct
true_text,94,564,correctness,0.16666666666666666,correct_to_correct
true_text,44,564,correctness,0.07801418439716312,correct_to_wrong
true_text,103,214,sender_receiver_answer_disagreement,0.48130841121495327,keeps_receiver_answer
true_text,108,214,sender_receiver_answer_disagreement,0.5046728971962616,adopts_sender_answer
true_text,3,214,sender_receiver_answer_disagreement,0.014018691588785047,changes_to_third_answer
true_text,0,214,sender_receiver_answer_disagreement,0.0,invalid_post_answer
true_statebridge,387,564,correctness,0.6861702127659575,wrong_to_wrong
true_statebridge,39,564,correctness,0.06914893617021277,wrong_to_correct
true_statebridge,113,564,correctness,0.20035460992907803,correct_to_correct
true_statebridge,25,564,correctness,0.044326241134751775,correct_to_wrong
true_statebridge,142,214,sender_receiver_answer_disagreement,0.6635514018691588,keeps_receiver_answer
true_statebridge,69,214,sender_receiver_answer_disagreement,0.32242990654205606,adopts_sender_answer
true_statebridge,3,214,sender_receiver_answer_disagreement,0.014018691588785047,changes_to_third_answer
true_statebridge,0,214,sender_receiver_answer_disagreement,0.0,invalid_post_answer
true_latentmas,369,564,correctness,0.6542553191489362,wrong_to_wrong
true_latentmas,57,564,correctness,0.10106382978723404,wrong_to_correct
true_latentmas,87,564,correctness,0.15425531914893617,correct_to_correct
true_latentmas,51,564,correctness,0.09042553191489362,correct_to_wrong
true_latentmas,95,214,sender_receiver_answer_disagreement,0.4439252336448598,keeps_receiver_answer
true_latentmas,118,214,sender_receiver_answer_disagreement,0.5514018691588785,adopts_sender_answer
true_latentmas,1,214,sender_receiver_answer_disagreement,0.004672897196261682,changes_to_third_answer
true_latentmas,0,214,sender_receiver_answer_disagreement,0.0,invalid_post_answer
