answer_change_rate,category,condition,directional_examples,follow_sender_rate,post_accuracy
0.16304347826086957,correction_opportunity,none,92,0.13043478260869565,0.13043478260869565
0.07608695652173914,destruction_risk,none,92,0.05434782608695652,0.9239130434782609
0.05089820359281437,both_wrong,none,334,0.8772455089820359,0.017964071856287425
0.021739130434782608,both_correct,none,46,0.9782608695652174,0.9782608695652174
0.5978260869565217,correction_opportunity,true_latentmas,92,0.5978260869565217,0.5978260869565217
0.532608695652174,destruction_risk,true_latentmas,92,0.5217391304347826,0.4673913043478261
0.06287425149700598,both_wrong,true_latentmas,334,0.937125748502994,0.005988023952095809
0.043478260869565216,both_correct,true_latentmas,46,0.9565217391304348,0.9565217391304348
0.40217391304347827,correction_opportunity,true_statebridge,92,0.391304347826087,0.391304347826087
0.2608695652173913,destruction_risk,true_statebridge,92,0.2391304347826087,0.7391304347826086
0.05089820359281437,both_wrong,true_statebridge,334,0.9251497005988024,0.008982035928143712
0.021739130434782608,both_correct,true_statebridge,46,0.9782608695652174,0.9782608695652174
0.532608695652174,correction_opportunity,true_text,92,0.5108695652173914,0.5108695652173914
0.4782608695652174,destruction_risk,true_text,92,0.4673913043478261,0.5217391304347826
0.0748502994011976,both_wrong,true_text,334,0.9431137724550899,0.005988023952095809
0.0,both_correct,true_text,46,1.0,1.0
