category,ci95_high,ci95_low,comparison,control_condition,denominator,influence_rate,modality,numerator,true_condition
all,0.15666666666666668,0.09,true_vs_none,none,600,0.12166666666666667,text,73,true_text
correction_opportunity,0.967741935483871,0.7333333333333333,true_vs_none,none,35,0.8571428571428571,text,30,true_text
destruction_risk,0.7105263157894737,0.375,true_vs_none,none,35,0.5428571428571428,text,19,true_text
both_wrong,0.27027580859548067,0.1012341772151899,true_vs_none,none,132,0.18181818181818182,text,24,true_text
both_correct,0.0,0.0,true_vs_none,none,398,0.0,text,0,true_text
all,0.15666666666666668,0.09,true_vs_self,self_text,600,0.12166666666666667,text,73,true_text
correction_opportunity,1.0,0.8095238095238095,true_vs_self,self_text,35,0.9142857142857143,text,32,true_text
destruction_risk,0.7105263157894737,0.375,true_vs_self,self_text,35,0.5428571428571428,text,19,true_text
both_wrong,0.2545454545454545,0.08695652173913043,true_vs_self,self_text,132,0.16666666666666666,text,22,true_text
both_correct,0.0,0.0,true_vs_self,self_text,398,0.0,text,0,true_text
all,0.16666666666666666,0.1,true_vs_other,other_text,600,0.13166666666666665,text,79,true_text
correction_opportunity,0.9743589743589743,0.7692307692307693,true_vs_other,other_text,35,0.8857142857142857,text,31,true_text
destruction_risk,0.7857683982683975,0.4594594594594595,true_vs_other,other_text,35,0.6285714285714286,text,22,true_text
both_wrong,0.2571428571428571,0.09848484848484848,true_vs_other,other_text,132,0.17424242424242425,text,23,true_text
both_correct,0.017412935323383085,0.0,true_vs_other,other_text,398,0.007537688442211055,text,3,true_text
all,0.17666666666666667,0.10333333333333333,true_vs_none,none,600,0.13833333333333334,statebridge,83,true_statebridge
correction_opportunity,0.9024390243902439,0.625,true_vs_none,none,35,0.7714285714285715,statebridge,27,true_statebridge
destruction_risk,1.0,0.8108108108108109,true_vs_none,none,35,0.9142857142857143,statebridge,32,true_statebridge
both_wrong,0.27193304953560365,0.10144682726204467,true_vs_none,none,132,0.18181818181818182,statebridge,24,true_statebridge
both_correct,0.0,0.0,true_vs_none,none,398,0.0,statebridge,0,true_statebridge
all,0.1733749999999994,0.10166666666666667,true_vs_self,self_statebridge,600,0.13666666666666666,statebridge,82,true_statebridge
correction_opportunity,0.925,0.6571428571428571,true_vs_self,self_statebridge,35,0.8,statebridge,28,true_statebridge
destruction_risk,1.0,0.8529411764705882,true_vs_self,self_statebridge,35,0.9428571428571428,statebridge,33,true_statebridge
both_wrong,0.24603479853479848,0.08208955223880597,true_vs_self,self_statebridge,132,0.1590909090909091,statebridge,21,true_statebridge
both_correct,0.0,0.0,true_vs_self,self_statebridge,398,0.0,statebridge,0,true_statebridge
all,0.18333333333333332,0.10833333333333334,true_vs_other,other_statebridge,600,0.145,statebridge,87,true_statebridge
correction_opportunity,0.9444444444444444,0.6944444444444444,true_vs_other,other_statebridge,35,0.8285714285714286,statebridge,29,true_statebridge
destruction_risk,1.0,0.8529411764705882,true_vs_other,other_statebridge,35,0.9428571428571428,statebridge,33,true_statebridge
both_wrong,0.26865671641791045,0.1031687675070028,true_vs_other,other_statebridge,132,0.18181818181818182,statebridge,24,true_statebridge
both_correct,0.007894736842105263,0.0,true_vs_other,other_statebridge,398,0.002512562814070352,statebridge,1,true_statebridge
