ci95_high,ci95_low,comparison,control_condition,delta,metric,true_condition
0.03166666666666662,0.006666666666666599,text_ce,none,0.018333333333333313,accuracy,true_text
0.967741935483871,0.7333333333333334,text_ce,none,0.8571428571428571,cr,true_text
-0.375,-0.7105263157894737,text_ce,none,-0.5428571428571429,pr,true_text
0.0,0.0,text_ce,none,0.0,sr,true_text
0.0,0.0,text_ce,none,0.0,scr,true_text
0.2549183006535945,0.0625,text_ce,none,0.15714285714285714,si,true_text
0.2549183006535945,0.0625,text_ce,none,0.15714285714285714,sra,true_text
0.04499999999999993,0.010000000000000009,text_esv,other_text,0.026666666666666616,accuracy,true_text
0.9743589743589743,0.7692307692307693,text_esv,other_text,0.8857142857142857,cr,true_text
-0.30555555555555547,-0.7083333333333333,text_esv,other_text,-0.5142857142857142,pr,true_text
0.022388059701492536,-0.022058823529411766,text_esv,other_text,0.0,sr,true_text
0.01741293532338306,0.0,text_esv,other_text,0.007537688442211032,scr,true_text
0.3064516129032258,0.06578947368421051,text_esv,other_text,0.18571428571428567,si,true_text
0.3064516129032258,0.06578947368421051,text_esv,other_text,0.18571428571428567,sra,true_text
0.03500000000000003,0.008333333333333415,text_oav,self_text,0.021666666666666612,accuracy,true_text
1.0,0.8095238095238095,text_oav,self_text,0.9142857142857143,cr,true_text
-0.375,-0.7105263157894737,text_oav,self_text,-0.5428571428571429,pr,true_text
0.0,0.0,text_oav,self_text,0.0,sr,true_text
0.0,0.0,text_oav,self_text,0.0,scr,true_text
0.28378378378378377,0.08571428571428569,text_oav,self_text,0.18571428571428567,si,true_text
0.28378378378378377,0.08571428571428569,text_oav,self_text,0.18571428571428567,sra,true_text
0.0,-0.01666666666666672,statebridge_ce,none,-0.008333333333333304,accuracy,true_statebridge
0.9024390243902439,0.625,statebridge_ce,none,0.7714285714285715,cr,true_statebridge
-0.8108108108108107,-1.0,statebridge_ce,none,-0.9142857142857143,pr,true_statebridge
0.0,0.0,statebridge_ce,none,0.0,sr,true_statebridge
0.0,0.0,statebridge_ce,none,0.0,scr,true_statebridge
0.0,-0.14473684210526305,statebridge_ce,none,-0.07142857142857134,si,true_statebridge
0.0,-0.1447368421052631,statebridge_ce,none,-0.0714285714285714,sra,true_statebridge
0.0050000000000000044,-0.018333333333333424,statebridge_esv,other_statebridge,-0.00666666666666671,accuracy,true_statebridge
0.9444444444444444,0.6944444444444444,statebridge_esv,other_statebridge,0.8285714285714286,cr,true_statebridge
-0.8064516129032258,-1.0,statebridge_esv,other_statebridge,-0.9142857142857143,pr,true_statebridge
0.014705882352941176,-0.046511627906976744,statebridge_esv,other_statebridge,-0.015151515151515152,sr,true_statebridge
0.007894736842105288,0.0,statebridge_esv,other_statebridge,0.002512562814070307,scr,true_statebridge
0.042857142857142816,-0.1282051282051282,statebridge_esv,other_statebridge,-0.042857142857142816,si,true_statebridge
0.042857142857142816,-0.1282051282051282,statebridge_esv,other_statebridge,-0.04285714285714287,sra,true_statebridge
0.0,-0.01666666666666672,statebridge_oav,self_statebridge,-0.008333333333333304,accuracy,true_statebridge
0.9249999999999999,0.6571428571428571,statebridge_oav,self_statebridge,0.8,cr,true_statebridge
-0.8529411764705882,-1.0,statebridge_oav,self_statebridge,-0.9428571428571428,pr,true_statebridge
0.0,0.0,statebridge_oav,self_statebridge,0.0,sr,true_statebridge
0.0,0.0,statebridge_oav,self_statebridge,0.0,scr,true_statebridge
0.0,-0.14473684210526316,statebridge_oav,self_statebridge,-0.07142857142857134,si,true_statebridge
0.0,-0.14473684210526316,statebridge_oav,self_statebridge,-0.0714285714285714,sra,true_statebridge
