ci95_high,ci95_low,comparison,control_condition,delta,metric,true_condition
0.018333333333333313,-0.008333333333333304,text_ce,none,0.0050000000000000044,accuracy,true_text
0.8484848484848485,0.5,text_ce,none,0.6785714285714286,cr,true_text
-0.31424107142857205,-0.6897214854111405,text_ce,none,-0.5,pr,true_text
0.0,-0.03125,text_ce,none,-0.012048192771084336,sr,true_text
0.0,0.0,text_ce,none,0.0,scr,true_text
0.2142857142857143,-0.039999999999999925,text_ce,none,0.0892857142857143,si,true_text
0.2142857142857143,-0.040000000000000036,text_ce,none,0.0892857142857143,sra,true_text
0.019999999999999907,-0.008333333333333415,statebridge_ce,none,0.0050000000000000044,accuracy,true_statebridge
0.6176470588235294,0.2424242424242425,statebridge_ce,none,0.4285714285714286,cr,true_statebridge
-0.0714285714285714,-0.375,statebridge_ce,none,-0.2142857142857143,pr,true_statebridge
0.0,-0.040697674418604654,statebridge_ce,none,-0.018072289156626505,sr,true_statebridge
0.0,0.0,statebridge_ce,none,0.0,scr,true_statebridge
0.2413793103448275,-0.030303030303030276,statebridge_ce,none,0.1071428571428572,si,true_statebridge
0.2413793103448275,-0.030303030303030276,statebridge_ce,none,0.1071428571428572,sra,true_statebridge
-0.0016666666666665941,-0.033333333333333326,latentmas_ce,none,-0.016666666666666607,accuracy,true_latentmas
0.7272727272727273,0.25,latentmas_ce,none,0.5,cr,true_latentmas
-0.5384615384615384,-0.8787878787878788,latentmas_ce,none,-0.7142857142857143,pr,true_latentmas
0.024096385542168676,-0.024096385542168672,latentmas_ce,none,0.0,sr,true_latentmas
0.0,-0.025003140703517605,latentmas_ce,none,-0.010582010582010581,scr,true_latentmas
0.021739130434782705,-0.25,latentmas_ce,none,-0.1071428571428571,si,true_latentmas
0.021739130434782705,-0.25,latentmas_ce,none,-0.1071428571428571,sra,true_latentmas
