condition,count,denominator,matrix,rate,transition
true_text,153,262,correctness,0.583969465648855,wrong_to_wrong
true_text,31,262,correctness,0.1183206106870229,wrong_to_correct
true_text,51,262,correctness,0.1946564885496183,correct_to_correct
true_text,27,262,correctness,0.10305343511450382,correct_to_wrong
true_text,30,108,sender_receiver_answer_disagreement,0.2777777777777778,keeps_receiver_answer
true_text,78,108,sender_receiver_answer_disagreement,0.7222222222222222,adopts_sender_answer
true_text,0,108,sender_receiver_answer_disagreement,0.0,changes_to_third_answer
true_text,0,108,sender_receiver_answer_disagreement,0.0,invalid_post_answer
true_statebridge,164,262,correctness,0.6259541984732825,wrong_to_wrong
true_statebridge,20,262,correctness,0.07633587786259542,wrong_to_correct
true_statebridge,63,262,correctness,0.24045801526717558,correct_to_correct
true_statebridge,15,262,correctness,0.05725190839694656,correct_to_wrong
true_statebridge,65,108,sender_receiver_answer_disagreement,0.6018518518518519,keeps_receiver_answer
true_statebridge,43,108,sender_receiver_answer_disagreement,0.39814814814814814,adopts_sender_answer
true_statebridge,0,108,sender_receiver_answer_disagreement,0.0,changes_to_third_answer
true_statebridge,0,108,sender_receiver_answer_disagreement,0.0,invalid_post_answer
true_latentmas,152,262,correctness,0.5801526717557252,wrong_to_wrong
true_latentmas,32,262,correctness,0.12213740458015267,wrong_to_correct
true_latentmas,49,262,correctness,0.18702290076335878,correct_to_correct
true_latentmas,29,262,correctness,0.11068702290076336,correct_to_wrong
true_latentmas,32,108,sender_receiver_answer_disagreement,0.2962962962962963,keeps_receiver_answer
true_latentmas,76,108,sender_receiver_answer_disagreement,0.7037037037037037,adopts_sender_answer
true_latentmas,0,108,sender_receiver_answer_disagreement,0.0,changes_to_third_answer
true_latentmas,0,108,sender_receiver_answer_disagreement,0.0,invalid_post_answer
