ci95_high,ci95_low,comparison,control_condition,delta,metric,true_condition
0.03191489361702127,-0.0065502183406113135,text_ce,none,0.01224489795918371,accuracy,true_text
0.5686359026369167,0.31666666666666665,text_ce,none,0.44262295081967207,cr,true_text
-0.11428571428571432,-0.3214437046004842,text_ce,none,-0.21311475409836067,pr,true_text
-0.013333333333333336,-0.08783783783783784,text_ce,none,-0.04999999999999999,sr,true_text
0.0,0.0,text_ce,none,0.0,scr,true_text
0.17000000000000004,0.06363636363636371,text_ce,none,0.11475409836065564,si,true_text
0.17000000000000004,0.0636363636363636,text_ce,none,0.11475409836065575,sra,true_text
0.02244897959183667,-0.022821576763485507,statebridge_ce,none,0.0,accuracy,true_statebridge
0.4915254237288136,0.2321428571428571,statebridge_ce,none,0.360655737704918,cr,true_statebridge
-0.11475409836065575,-0.32307692307692304,statebridge_ce,none,-0.21311475409836067,pr,true_statebridge
-0.012500000000000011,-0.10493827160493827,statebridge_ce,none,-0.056249999999999994,sr,true_statebridge
0.0,0.0,statebridge_ce,none,0.0,scr,true_statebridge
0.1389002732240436,0.008928571428571397,statebridge_ce,none,0.07377049180327866,si,true_statebridge
0.1389002732240436,0.008928571428571397,statebridge_ce,none,0.07377049180327877,sra,true_statebridge
-0.010000000000000009,-0.06862850290330723,latentmas_ce,none,-0.038775510204081653,accuracy,true_latentmas
0.36363636363636365,0.0980187908496732,latentmas_ce,none,0.2295081967213114,cr,true_latentmas
-0.24285714285714288,-0.4833333333333333,latentmas_ce,none,-0.360655737704918,pr,true_latentmas
-0.007243788819875818,-0.11971830985915494,latentmas_ce,none,-0.0625,sr,true_latentmas
0.0,-0.015789473684210575,latentmas_ce,none,-0.004807692307692291,scr,true_latentmas
0.024193548387096753,-0.15672007609013766,latentmas_ce,none,-0.06557377049180335,si,true_latentmas
0.024193548387096753,-0.15672007609013755,latentmas_ce,none,-0.06557377049180324,sra,true_latentmas
