answer_change_rate,category,condition,directional_examples,follow_sender_rate,post_accuracy
0.7213114754098361,correction_opportunity,none,61,0.5409836065573771,0.5409836065573771
0.01639344262295082,destruction_risk,none,61,0.01639344262295082,0.9836065573770492
0.4,both_wrong,none,160,0.55625,0.25
0.0,both_correct,none,208,1.0,1.0
0.8688524590163934,correction_opportunity,true_latentmas,61,0.7704918032786885,0.7704918032786885
0.3770491803278688,destruction_risk,true_latentmas,61,0.2786885245901639,0.6229508196721312
0.4,both_wrong,true_latentmas,160,0.625,0.1875
0.004807692307692308,both_correct,true_latentmas,208,0.9951923076923077,0.9951923076923077
0.9016393442622951,correction_opportunity,true_statebridge,61,0.9016393442622951,0.9016393442622951
0.22950819672131148,destruction_risk,true_statebridge,61,0.16393442622950818,0.7704918032786885
0.3875,both_wrong,true_statebridge,160,0.6125,0.19375
0.0,both_correct,true_statebridge,208,1.0,1.0
0.9836065573770492,correction_opportunity,true_text,61,0.9836065573770492,0.9836065573770492
0.22950819672131148,destruction_risk,true_text,61,0.19672131147540983,0.7704918032786885
0.4,both_wrong,true_text,160,0.61875,0.2
0.0,both_correct,true_text,208,1.0,1.0
