answer_change_rate,category,condition,directional_examples,follow_sender_rate,post_accuracy
0.0,correction_opportunity,none,34,0.0,0.0
0.0,destruction_risk,none,34,0.0,1.0
0.036231884057971016,both_wrong,none,138,0.8333333333333334,0.021739130434782608
0.0025380710659898475,both_correct,none,394,0.9974619289340102,0.9974619289340102
0.08823529411764706,correction_opportunity,other_statebridge,34,0.029411764705882353,0.029411764705882353
0.058823529411764705,destruction_risk,other_statebridge,34,0.029411764705882353,0.9411764705882353
0.050724637681159424,both_wrong,other_statebridge,138,0.8333333333333334,0.036231884057971016
0.0025380710659898475,both_correct,other_statebridge,394,0.9974619289340102,0.9974619289340102
0.029411764705882353,correction_opportunity,other_text,34,0.029411764705882353,0.029411764705882353
0.0,destruction_risk,other_text,34,0.0,1.0
0.028985507246376812,both_wrong,other_text,138,0.8405797101449275,0.0
0.017766497461928935,both_correct,other_text,394,0.9822335025380711,0.9822335025380711
0.029411764705882353,correction_opportunity,self_statebridge,34,0.0,0.0
0.0,destruction_risk,self_statebridge,34,0.0,1.0
0.007246376811594203,both_wrong,self_statebridge,138,0.8623188405797102,0.0
0.0,both_correct,self_statebridge,394,1.0,1.0
0.0,correction_opportunity,self_text,34,0.0,0.0
0.0,destruction_risk,self_text,34,0.0,1.0
0.014492753623188406,both_wrong,self_text,138,0.855072463768116,0.007246376811594203
0.0,both_correct,self_text,394,1.0,1.0
0.7941176470588235,correction_opportunity,true_statebridge,34,0.7941176470588235,0.7941176470588235
0.9117647058823529,destruction_risk,true_statebridge,34,0.9117647058823529,0.08823529411764706
0.13043478260869565,both_wrong,true_statebridge,138,0.9855072463768116,0.0
0.005076142131979695,both_correct,true_statebridge,394,0.9949238578680203,0.9949238578680203
0.8529411764705882,correction_opportunity,true_text,34,0.8529411764705882,0.8529411764705882
0.6470588235294118,destruction_risk,true_text,34,0.6470588235294118,0.35294117647058826
0.11594202898550725,both_wrong,true_text,138,0.9710144927536232,0.0
0.0,both_correct,true_text,394,1.0,1.0
