condition,count,denominator,matrix,rate,transition
true_text,455,708,correctness,0.6426553672316384,wrong_to_wrong
true_text,91,708,correctness,0.1285310734463277,wrong_to_correct
true_text,102,708,correctness,0.1440677966101695,correct_to_correct
true_text,60,708,correctness,0.0847457627118644,correct_to_wrong
true_text,99,290,sender_receiver_answer_disagreement,0.3413793103448276,keeps_receiver_answer
true_text,188,290,sender_receiver_answer_disagreement,0.6482758620689655,adopts_sender_answer
true_text,3,290,sender_receiver_answer_disagreement,0.010344827586206896,changes_to_third_answer
true_text,0,290,sender_receiver_answer_disagreement,0.0,invalid_post_answer
true_statebridge,462,708,correctness,0.652542372881356,wrong_to_wrong
true_statebridge,84,708,correctness,0.11864406779661017,wrong_to_correct
true_statebridge,106,708,correctness,0.1497175141242938,correct_to_correct
true_statebridge,56,708,correctness,0.07909604519774012,correct_to_wrong
true_statebridge,118,290,sender_receiver_answer_disagreement,0.4068965517241379,keeps_receiver_answer
true_statebridge,167,290,sender_receiver_answer_disagreement,0.5758620689655173,adopts_sender_answer
true_statebridge,5,290,sender_receiver_answer_disagreement,0.017241379310344827,changes_to_third_answer
true_statebridge,0,290,sender_receiver_answer_disagreement,0.0,invalid_post_answer
true_latentmas,472,708,correctness,0.6666666666666666,wrong_to_wrong
true_latentmas,74,708,correctness,0.10451977401129943,wrong_to_correct
true_latentmas,104,708,correctness,0.14689265536723164,correct_to_correct
true_latentmas,58,708,correctness,0.08192090395480225,correct_to_wrong
true_latentmas,135,290,sender_receiver_answer_disagreement,0.46551724137931033,keeps_receiver_answer
true_latentmas,154,290,sender_receiver_answer_disagreement,0.5310344827586206,adopts_sender_answer
true_latentmas,0,290,sender_receiver_answer_disagreement,0.0,changes_to_third_answer
true_latentmas,1,290,sender_receiver_answer_disagreement,0.0034482758620689655,invalid_post_answer
