ci95_high,ci95_low,comparison,control_condition,delta,metric,true_condition
0.04354354354354356,-0.005556722689075637,text_ce,none,0.01836158192090398,accuracy,true_text
0.703125,0.5,text_ce,none,0.6052631578947368,cr,true_text
-0.38181818181818183,-0.6,text_ce,none,-0.4912280701754386,pr,true_text
0.006173477196204459,-0.025702188038987606,text_ce,none,-0.009259259259259259,sr,true_text
0.16666666666666663,0.019230769230769273,text_ce,none,0.08333333333333337,scr,true_text
0.13257769016697585,-0.016673728813559364,text_ce,none,0.05701754385964919,si,true_text
0.13257769016697585,-0.016673728813559364,text_ce,none,0.05701754385964908,sra,true_text
0.03834808259587019,-0.010930894937622445,statebridge_ce,none,0.01412429378531077,accuracy,true_statebridge
0.5943396226415094,0.4,statebridge_ce,none,0.5,cr,true_statebridge
-0.35,-0.5454545454545455,statebridge_ce,none,-0.4473684210526315,pr,true_statebridge
0.020271127726711472,-0.015151515151515155,statebridge_ce,none,0.0023148148148148147,sr,true_statebridge
0.15625,-0.023809523809523836,statebridge_ce,none,0.0625,scr,true_statebridge
0.092741935483871,-0.04296875,statebridge_ce,none,0.026315789473684292,si,true_statebridge
0.09274193548387089,-0.04296875,statebridge_ce,none,0.02631578947368418,sra,true_statebridge
0.023078703703703705,-0.02878787878787878,latentmas_ce,none,-0.002824858757062121,accuracy,true_latentmas
0.5806451612903225,0.36734693877551017,latentmas_ce,none,0.4736842105263158,cr,true_latentmas
-0.3545359848484849,-0.5603448275862069,latentmas_ce,none,-0.45614035087719296,pr,true_latentmas
-0.0022123893805309734,-0.027777777777777776,latentmas_ce,none,-0.013888888888888888,sr,true_latentmas
0.14516129032258063,-0.05555555555555558,latentmas_ce,none,0.04166666666666674,scr,true_latentmas
0.08654336734693872,-0.07017543859649122,latentmas_ce,none,0.00877192982456143,si,true_latentmas
0.08654336734693872,-0.07017543859649122,latentmas_ce,none,0.00877192982456132,sra,true_latentmas
