category,ci95_high,ci95_low,comparison,control_condition,denominator,influence_rate,modality,numerator,true_condition
all,0.14833333333333334,0.085,true_vs_none,none,600,0.115,text,69,true_text
correction_opportunity,0.9375,0.6666666666666666,true_vs_none,none,32,0.8125,text,26,true_text
destruction_risk,0.7666666666666667,0.4230769230769231,true_vs_none,none,32,0.59375,text,19,true_text
both_wrong,0.2391304347826087,0.08461538461538462,true_vs_none,none,146,0.15753424657534246,text,23,true_text
both_correct,0.008064516129032258,0.0,true_vs_none,none,390,0.002564102564102564,text,1,true_text
all,0.145,0.08,true_vs_self,self_text,600,0.11166666666666666,text,67,true_text
correction_opportunity,0.9393939393939394,0.6666666666666666,true_vs_self,self_text,32,0.8125,text,26,true_text
destruction_risk,0.8181818181818182,0.4857142857142857,true_vs_self,self_text,32,0.65625,text,21,true_text
both_wrong,0.21621621621621623,0.06666666666666667,true_vs_self,self_text,146,0.136986301369863,text,20,true_text
both_correct,0.0,0.0,true_vs_self,self_text,390,0.0,text,0,true_text
all,0.16,0.09333333333333334,true_vs_other,other_text,600,0.125,text,75,true_text
correction_opportunity,0.9629629629629629,0.7096774193548387,true_vs_other,other_text,32,0.84375,text,27,true_text
destruction_risk,0.8181818181818182,0.4857142857142857,true_vs_other,other_text,32,0.65625,text,21,true_text
both_wrong,0.22388059701492538,0.07258064516129033,true_vs_other,other_text,146,0.14383561643835616,text,21,true_text
both_correct,0.031092130829015484,0.00267379679144385,true_vs_other,other_text,390,0.015384615384615385,text,6,true_text
all,0.17,0.09833333333333333,true_vs_none,none,600,0.13333333333333333,statebridge,80,true_statebridge
correction_opportunity,1.0,0.7941176470588235,true_vs_none,none,32,0.90625,statebridge,29,true_statebridge
destruction_risk,0.868421052631579,0.5555555555555556,true_vs_none,none,32,0.71875,statebridge,23,true_statebridge
both_wrong,0.273972602739726,0.1056338028169014,true_vs_none,none,146,0.18493150684931506,statebridge,27,true_statebridge
both_correct,0.008064516129032258,0.0,true_vs_none,none,390,0.002564102564102564,statebridge,1,true_statebridge
all,0.16833333333333333,0.095,true_vs_self,self_statebridge,600,0.13,statebridge,78,true_statebridge
correction_opportunity,1.0,0.8,true_vs_self,self_statebridge,32,0.90625,statebridge,29,true_statebridge
destruction_risk,0.918918918918919,0.6285714285714286,true_vs_self,self_statebridge,32,0.78125,statebridge,25,true_statebridge
both_wrong,0.2532467532467532,0.08620016163793105,true_vs_self,self_statebridge,146,0.1643835616438356,statebridge,24,true_statebridge
both_correct,0.0,0.0,true_vs_self,self_statebridge,390,0.0,statebridge,0,true_statebridge
all,0.17666666666666667,0.10333333333333333,true_vs_other,other_statebridge,600,0.13833333333333334,statebridge,83,true_statebridge
correction_opportunity,0.972972972972973,0.75,true_vs_other,other_statebridge,32,0.875,statebridge,28,true_statebridge
destruction_risk,0.8461538461538461,0.5172413793103449,true_vs_other,other_statebridge,32,0.6875,statebridge,22,true_statebridge
both_wrong,0.2826086956521739,0.11193784367635508,true_vs_other,other_statebridge,146,0.1917808219178082,statebridge,28,true_statebridge
both_correct,0.027175258286698215,0.0024630541871921183,true_vs_other,other_statebridge,390,0.01282051282051282,statebridge,5,true_statebridge
