answer_change_rate,category,condition,directional_examples,follow_sender_rate,post_accuracy
0.0625,correction_opportunity,none,32,0.03125,0.03125
0.0625,destruction_risk,none,32,0.0625,0.9375
0.02054794520547945,both_wrong,none,146,0.8013698630136986,0.0136986301369863
0.002564102564102564,both_correct,none,390,0.9974358974358974,0.9974358974358974
0.03125,correction_opportunity,other_latentmas,32,0.03125,0.03125
0.03125,destruction_risk,other_latentmas,32,0.03125,0.96875
0.0136986301369863,both_wrong,other_latentmas,146,0.8082191780821918,0.00684931506849315
0.0,both_correct,other_latentmas,390,1.0,1.0
0.0625,correction_opportunity,other_statebridge,32,0.0625,0.0625
0.09375,destruction_risk,other_statebridge,32,0.09375,0.90625
0.03424657534246575,both_wrong,other_statebridge,146,0.7945205479452054,0.0273972602739726
0.01282051282051282,both_correct,other_statebridge,390,0.9871794871794872,0.9871794871794872
0.03125,correction_opportunity,other_text,32,0.0,0.0
0.0,destruction_risk,other_text,32,0.0,1.0
0.02054794520547945,both_wrong,other_text,146,0.815068493150685,0.0136986301369863
0.015384615384615385,both_correct,other_text,390,0.9846153846153847,0.9846153846153847
0.03125,correction_opportunity,self_latentmas,32,0.0,0.0
0.03125,destruction_risk,self_latentmas,32,0.0,0.96875
0.0,both_wrong,self_latentmas,146,0.821917808219178,0.0
0.002564102564102564,both_correct,self_latentmas,390,0.9974358974358974,0.9974358974358974
0.03125,correction_opportunity,self_statebridge,32,0.03125,0.03125
0.0,destruction_risk,self_statebridge,32,0.0,1.0
0.00684931506849315,both_wrong,self_statebridge,146,0.821917808219178,0.0
0.0,both_correct,self_statebridge,390,1.0,1.0
0.03125,correction_opportunity,self_text,32,0.03125,0.03125
0.0,destruction_risk,self_text,32,0.0,1.0
0.0,both_wrong,self_text,146,0.821917808219178,0.0
0.0,both_correct,self_text,390,1.0,1.0
0.3125,correction_opportunity,true_latentmas,32,0.3125,0.3125
0.28125,destruction_risk,true_latentmas,32,0.28125,0.71875
0.0821917808219178,both_wrong,true_latentmas,146,0.8767123287671232,0.00684931506849315
0.002564102564102564,both_correct,true_latentmas,390,0.9974358974358974,0.9974358974358974
0.9375,correction_opportunity,true_statebridge,32,0.9375,0.9375
0.78125,destruction_risk,true_statebridge,32,0.78125,0.21875
0.1643835616438356,both_wrong,true_statebridge,146,0.9863013698630136,0.0
0.0,both_correct,true_statebridge,390,1.0,1.0
0.84375,correction_opportunity,true_text,32,0.84375,0.84375
0.65625,destruction_risk,true_text,32,0.65625,0.34375
0.136986301369863,both_wrong,true_text,146,0.958904109589041,0.0
0.0,both_correct,true_text,390,1.0,1.0
